題號,維度,繁體中文,繁體中文_選項1,繁體中文_選項2,英文,英文_選項1,英文_選項2,日文,日文_選項1,日文_選項2,韓文,韓文_選項1,韓文_選項2,文化語境與中文回推差異
1,EI,"一週忙到爆，週五晚上你好不容易關上店門／下班回到家。此刻你最想做的是：","打開手機看朋友在哪裡，想問一句：「等等有沒有局？」","把手機丟遠一點，泡個熱飲，誰傳訊息都先放著，想安靜一個人待著。","You had a crazy busy week, and you finally close the shop/get home on Friday night. Right now, what you want to do most is:","Check your phone to see where your friends are, asking: ""Any plans tonight?""","Put your phone away, make a hot drink, ignore all messages, and just enjoy some quiet alone time.","怒涛の1週間を終え、金曜日の夜にようやく店を閉める/帰宅したあなた。今一番したいことは：","スマホを開いて友達の居場所を確認し、「今から集まらない？」と誘う。","スマホを遠ざけ、温かい飲み物を淹れ、連絡をすべて後回しにして静かに一人で過ごす。","일주일 내내 미친듯이 바빴고, 금요일 밤 마침내 가게 문을 닫거나 퇴근하고 집에 왔습니다. 지금 가장 하고 싶은 것은:","휴대폰을 열어 친구들이 어디 있는지 확인하고, ""이따가 약속 있어?""라고 물어본다.","휴대폰을 멀리 두고, 따뜻한 음료를 타서 모든 메시지를 무시한 채 혼자 조용히 쉰다.","【中】有無局？【英】Any plans tonight?【日】今から集まらない？【韓】이따가 약속 있어? (日韓語境更強調「相聚」而非抽象的「局」)"
2,EI,"你被朋友臨時拉去一場幾乎全是陌生人的聚會／商務酒會，前 10 分鐘你的狀態通常是：","先隨便抓一杯飲料，開始在場內繞一圈，找人搭話、認識新朋友。","找到角落、牆邊或吧台的位置，先觀察氣氛，看看有沒有看起來聊得來的人。","A friend dragged you to a party/networking event at the last minute where you barely know anyone. In the first 10 minutes, you usually:","Grab a drink and start circling the room, striking up conversations and making new friends.","Find a spot in the corner, by the wall, or at the bar, observing the vibe and seeing if there's anyone approachable.","友達に急遽誘われ、知り合いがほとんどいないパーティーや交流会に参加しました。最初の10分間、あなたはどうしていますか：","とりあえず飲み物を手に取り、会場を回りながら人に話しかけ、新しい友達を作る。","隅っこや壁際、バーカウンターの席を確保し、まずは雰囲気を観察しながら話しやすそうな人を探す。","친구가 갑자기 아는 사람이 거의 없는 파티나 네트워킹 행사에 데려갔습니다. 처음 10분 동안 당신의 모습은:","일단 음료를 하나 집어 들고, 행사장을 돌아다니며 사람들에게 말을 걸고 새로운 친구를 사귄다.","구석이나 벽 쪽, 바 자리를 찾아 분위기를 살피며 대화하기 편해 보이는 사람이 있는지 관찰한다.","【英、日、韓】皆將「隨便抓一杯飲料」譯為拿一杯喝的，並強調在角落觀察氣氛的寫實感。"
3,EI,"當你腦中有一個還不成熟的想法時，你比較習慣：","先說出來跟別人討論，在講的過程中慢慢長出完整的想法。","先自己在腦中演練好幾輪，覺得差不多了才找人分享。","When you have an idea in your head that isn't fully formed yet, you usually prefer to:","Talk it out and discuss it with others, letting the idea take shape during the conversation.","Run it through in your head several times and only share it when it feels more complete.","まだまとまっていないアイデアが頭に浮かんだ時、あなたのいつもの反応は：","まずは誰かに話し、議論する中で徐々にアイデアを形にしていく。","頭の中で何度もシミュレーションし、ある程度まとまってから人に共有する。","머릿속에 아직 완성되지 않은 아이디어가 떠올랐을 때, 당신이 선호하는 방식은:","먼저 사람들에게 말하고 토론하면서, 대화하는 과정 중에 아이디어를 구체화한다.","머릿속으로 여러 번 시뮬레이션을 돌려보고, 어느 정도 완성되었다고 느낄 때 공유한다.","直譯，無特殊文化背景差異。"
4,EI,"手機突然響起，是一通未知來電，你的第一反應是：","有點好奇是什麼事，反正接起來再說。","先皺一下眉，會猶豫要不要接，甚至讓它響完再回撥。","Your phone rings, and it's an unknown number. Your first reaction is:","A bit curious about who it is, so you just answer it to find out.","Frown slightly, hesitate to answer, or even let it ring out and check later.","知らない番号から急に電話がかかってきました。あなたの第一反応は：","「何だろう？」と少し好奇心が湧き、とりあえず出てみる。","少し眉をひそめ、出るのをためらう。鳴り終わるのを待ってから必要ならかけなおす。","갑자기 모르는 번호로 전화가 왔습니다. 당신의 첫 반응은:","무슨 일인지 약간 궁금해서 일단 받아본다.","살짝 미간을 찌푸리며 전화를 받을지 망설이거나, 아예 끊길 때까지 기다렸다가 나중에 확인한다.","直譯，無特殊文化背景差異。"
5,EI,"在一場團隊腦力激盪會議中，主持人說：「有想法就直接講！」你會：","先丟幾個點子出來，不怕還不成熟，覺得先有東西再調整就好。","先聽大家的想法，等自己腦中整理成一個比較完整的說法再開口。","During a team brainstorming meeting, the host says, ""Just shout out any ideas!"" You will:","Throw out a few ideas right away, not worrying if they are half-baked. Better to have something to work with.","Listen to others first, wait until you formulate a relatively complete thought before speaking up.","チームのブレインストーミングで、司会者が「思いついたことをどんどん言って！」と言いました。あなたは：","まだ未完成でも気にせずアイデアをいくつか出し、そこから調整すればいいと考える。","まずはみんなの意見を聞き、自分の頭の中でまとまった発言ができるようになってから口を開く。","팀 브레인스토밍 회의 중 진행자가 ""아이디어가 있으면 자유롭게 말해주세요!""라고 합니다. 당신은:","일단 생각나는 대로 몇 가지 던진다. 아직 부족하더라도 나중에 수정하면 된다고 생각한다.","먼저 다른 사람들의 의견을 듣고, 머릿속에서 비교적 완성된 형태로 정리된 후에 입을 연다.","直譯，無特殊文化背景差異。"
6,EI,"對你來說，「朋友」比較像是：","很多不同圈子的人，平常隨時都有人可以約、可以聊天。","少數幾個非常熟的人，真正會說心事的其實只有那幾位。","To you, ""friends"" are more like:","People from many different circles. There's always someone to hang out or chat with.","A very few close individuals. They are the only ones you truly confide in.","あなたにとって「友達」とは、どちらに近いですか？","さまざまなコミュニティにいる多くの人たち。普段からいつでも遊んだり話したりできる。","ごく少数の親しい人たち。本当に心の内を明かせるのはその数人だけ。","당신에게 ""친구""란 어느 쪽에 더 가깝나요?","다양한 무리의 많은 사람들. 평소에 언제든지 만나거나 연락할 수 있는 사람이 많다.","소수의 매우 친밀한 사람들. 진심으로 속마음을 털어놓을 수 있는 사람은 그 몇 명뿐이다.","直譯，無特殊文化背景差異。"
7,EI,"假設今天你整天都被關在家裡，沒有行程、也不能出門，你覺得：","有點快被悶壞了，會想主動開視訊、語音，找人講話。","反而覺得難得清靜，終於可以專心做自己的事情，不被打擾。","Suppose you are stuck at home all day with no schedule and can't go out. You feel:","A bit stifled. I'd proactively initiate video or voice calls to catch up with someone.","Actually relieved. It's a rare moment of peace where I can focus on my own things without interruption.","今日一日、予定もなく家から出られない状況になりました。あなたはどう感じますか？","少し息苦しく感じ、自分から友達にビデオ通話や電話をかけて話したくなる。","誰にも邪魔されず、自分のことに集中できる貴重な静かな時間だと嬉しく思う。","만약 오늘 하루 종일 일정 없이 집에만 있어야 하는 상황이라면, 당신의 기분은:","좀 답답해서, 먼저 영상 통화나 음성 통화를 걸어 누군가와 대화하고 싶어질 것이다.","오히려 조용해서 좋다. 방해받지 않고 내 일에 온전히 집중할 수 있는 귀중한 시간이다.","直譯，無特殊文化背景差異。"
8,EI,"當你發生一件很值得開心的事（升遷、投標中、作品得獎、暗戀的人回訊息）時，你會：","立刻截圖、發限動或打給朋友，想跟一堆人分享這個好消息。","先在心裡偷笑，可能只會跟一兩個最親近的人說。","When something genuinely happy happens to you (promotion, winning a pitch, getting noticed by a crush), you will:","Immediately screenshot, post a story, or call friends to share the great news with as many people as possible.","Smile to yourself first, and probably only share it with one or two of your closest people.","とても嬉しい出来事（昇進、当選、好きな人からの連絡など）があった時、あなたは：","すぐにスクショしたり、ストーリーに上げたり、友達に電話して、多くの人と喜びを分かち合う。","まずは心の中でガッツポーズをし、ごく親しい1〜2人にしか伝えないかもしれない。","정말 기쁜 일(승진, 공모전 당선, 짝사랑 상대의 연락 등)이 생겼을 때, 당신은:","즉시 캡처하거나 스토리를 올리거나 친구에게 전화해서 최대한 많은 사람과 소식을 공유한다.","혼자 속으로 미소 짓고, 아마 가장 친한 한두 사람에게만 살짝 알릴 것이다.","【限動】(IG Story) 針對年輕一代的社交媒體使用習慣，【英】post a story、【日】ストーリーに上げたり、【韓】스토리를 올리거나 皆採用各國最道地 Instagram 限時動態說法。"
9,SN,"你站在窗邊，看著一片安靜的樹林／山景照片，你腦中首先浮現的是：","風有多冷、樹葉什麼顏色、空氣大概聞起來是潮濕還是乾燥。","這裡像一個故事的開頭，讓我聯想到「如果我走進去，會發生什麼事」。","Standing by a window looking at a quiet forest/mountain photo, the first thing that comes to your mind is:","How cold the wind is, the color of the leaves, and whether the air smells damp or dry.","It feels like the beginning of a story. I imagine, ""What would happen if I walked in there?""","窓辺に立ち、静かな森や山の風景写真を見つめています。最初に頭に浮かぶことは：","風の冷たさ、葉の色、空気の湿っぽさや乾燥具合など、具体的な状況。","「ここに入っていったら何が起きるだろう」という、物語の始まりのような想像。","창가에 서서 조용한 숲이나 산의 사진을 바라보고 있습니다. 가장 먼저 떠오르는 생각은:","바람은 얼마나 찰지, 나뭇잎 색깔, 공기 냄새가 습할지 건조할지 같은 구체적인 감각.","어떤 이야기의 시작처럼 느껴지고, ""저 안으로 걸어 들어가면 무슨 일이 생길까?"" 하는 상상.","直譯，無特殊文化背景差異。"
10,SN,"別人跟你描述一件事情時，你會更自然地追問：","「所以是幾點？在哪裡？後來具體發生什麼？」","「為什麼會這樣？你覺得這背後代表什麼？之後可能會怎麼發展？」","When someone describes an event to you, you naturally tend to ask:","""So what time was it? Where did it happen? What exactly happened next?""","""Why did that happen? What do you think that means? Where is this leading to?""","誰かから出来事の説明を受けた時、あなたが自然と深掘りしたくなるのは：","「それ何時？どこで？その後具体的にどうなったの？」","「どうしてそうなったの？それってどういう意味？この先どうなると思う？」","누군가 어떤 사건에 대해 이야기할 때, 당신이 자연스럽게 더 묻게 되는 것은:","""그래서 몇 시였어? 어디서? 그 다음에 구체적으로 어떻게 됐어?""","""왜 그런 일이 생겼을까? 그게 무슨 의미인 것 같아? 앞으로 어떻게 될까?""","直譯，無特殊文化背景差異。"
