Question_ID,Dimension,Context,Option_A,Option_B,Cultural_Note
"Q01","EI","스트레스 폭발, 영혼까지 탈탈 털린 평일이 지나고 드디어 주말! 당신의 본능적인 '에너지 충전' 방식은?","틱톡/인스타 열어서 친구들 갓생 릴스 보고 '이따가 약속 있어? 힐링 타임 같이 할까?'라며 밖으로 나가 에너지 흡수하기.","휴대폰 방해금지 모드로 하고 모든 메시지 무시. 이불 속에서 한 발짝도 안 나가는 '침대와 물아일체'가 최고의 힐링.","갓생/인싸 (充實生活/現充充電) vs 방해금지/물아일체 (勿擾/與床合一的排毒)。"
"Q02","EI","친구가 갑자기 아는 사람이 거의 없는 네트워킹 행사에 데려갔습니다. 처음 10분 동안 당신의 모습은?","일단 음료수 하나 집어 들고 행사장을 돌아다니며 말을 걸고 새로운 인연을 만드는 '아이스 브레이킹 장인'.","구석 자리 찾아 '눈치' 보고 분위기 파악하기. 아는 사람(일명 E 보호자) 옆에 찰싹 붙어 안전해질 때까지 기다림.","아이스 브레이킹 장인 (破冰匠人) vs 눈치/E 보호자 (看眼色/極度依賴E人保護者)。"
"Q03","EI","모처럼의 휴일, 친구가 갑자기 '지금 나올래? 커피 한잔하자'라고 연락했을 때 당신의 반응은?","1초 만에 옷 갈아입고 나감. 극강의 기동력! 집에만 있으면 쳐지는데 이런 '번개 모임'이야말로 주말의 묘미.","동공 지진 발생. 외출하려면 최소 하루 전 '마음의 준비'가 필요함. 오늘 이미 '집콕 모드'로 세팅됐다면 단호하게 거절.","번개 모임 (閃電聚會/閃約) vs 마음의 준비/집콕 (出門的心理準備/宅在家)。"
"Q04","EI","당신의 인스타그램이나 SNS 활동 스타일을 가장 잘 설명하는 것은?","인스타 스토리 상단이 항상 '점선(무한 업로드)'! 일상을 공유하고 소통하는 게 제일 즐거운 진정한 '프로 소통러'.","조용히 피드만 넘겨보는 '눈팅(Lurking)' 장인. 본계정은 조용하고, 찐친들만 있는 '비공개 부계정'에서만 조용히 활동함.","스토리 점선/프로 소통러 (限動虛線/專業溝通者) vs 눈팅/비공개 부계정 (潛水/私密小帳)。"
"Q05","EI","단톡방이나 여러 명이 모인 회의 자리에서 당신의 포지션은?","'오디오가 비는 걸 못 참음!' 생각나는 대로 말하면서 아이디어를 발전시키고, 리액션으로 분위기를 띄우는 인간 활력소.","상황을 묵묵히 지켜보는 '신중한 관찰자'. 남들 대화를 다 듣고 속으로 정리한 뒤, 필요한 순간에만 입을 여는 팩폭 스나이퍼.","오디오가 비는 걸 못 참음 (怕冷場/音軌空白) vs 팩폭 스나이퍼 (不鳴則已，一鳴驚人的事實爆擊狙擊手)。"
"Q06","EI","인간관계에서 당신이 '진짜 친구'를 만들고 신뢰를 쌓는 방식은?","새로운 만남에서 에너지를 얻는 '인맥 부자'. 여러 무리의 사람들을 연결해주는 걸 좋아하며 친화력이 좋은 인간 리트리버.","인간관계의 '바운더리'가 매우 확실함. 좁고 깊은 관계를 추구하며, 한번 내 사람이라 생각하면 다 퍼주는 '찐친 컬렉터'.","인맥 부자/인간 리트리버 (人脈富翁/人類黃金獵犬) vs 바운더리/찐친 (明確邊界/真親收集者)。"
"Q07","EI","평소 가보고 싶었던 핫플(팝업스토어, 카페 등)을 발견했을 때, 당신이 가장 선호하는 방문 방식은?","'좋은 건 다 같이!' 바로 단톡방에 링크를 뿌리며 파티원을 모집함. 여러 명과 텐션을 올리며 떠들석하게 즐겨야 제맛.","'나홀로 투어' 혹은 영혼의 단짝 딱 1명만 데려감. 여럿이 가서 기 빨리는 것보다, 내 페이스대로 온전히 공간을 음미하고 싶음.","파티원 모집 (招募派對成員) vs 나홀로 투어/기 빨림 (獨自一人/討厭被吸乾精力)。"
"Q08","EI","고민이 생기거나 중요한 결정을 내려야 할 때, 당신이 해답을 찾는 방식은?","타인과 소통하며 해답을 찾는 '외부 연결형'. 친구와 폭풍 수다를 떨며 타인의 리액션과 에너지를 '흡수(충전)'해야 생각이 정리됨.","방구석 '리서치 장인'. 혼자 끙끙대기보단 커뮤니티 정독, 구글링, 심지어 'AI와 심도 깊은 토론'을 거친 후 완벽한 결론을 도출함.","에너지 흡수/수다 (暴風聊天吸收能量) vs 방구석 리서치/AI 토론 (房間角落的資料搜查匠人/與AI討論)。"
"Q09","SN","친구가 신나서 어떤 사건이나 소문을 이야기할 때, 당신이 가장 먼저 집중하는 정보는?","'그래서 몇 시? 어디서? 그 다음에 정확히 어떻게 됐어?'라며 시간, 장소, 팩트 등 구체적인 디테일을 파악하려 함.","'왜 그랬을까? 그게 어떤 의미가 숨어있는 걸까?'라며 눈에 보이지 않는 동기나 사건 이면의 맥락을 파헤치려 함.","팩트 디테일 (Fact細節) vs 이면의 맥락 (背後的脈絡與動機)。"
"Q10","SN","창가에 서서 조용한 숲 사진을 바라보고 있습니다. 가장 먼저 떠오르는 생각은?","'실제 온도는 어떨까? 나뭇잎 색깔 참 예쁘다. 공기 냄새는 비 온 후 같을까?'라며 구체적인 감각을 떠올림.","'이거 완전 주인공 바이브... 내가 저 숲에 들어가면 내 인생 서사가 어떻게 바뀔까?'라며 상상력의 나래를 펼침.","구체적 감각 (具體五感) vs 주인공 바이브 (主角Vibe與想像力)。"
