Question_ID,Country,Dimension,Context,Option_A,Option_B,Cultural_Note
Q01,Taiwan,EI,經歷了連續五天高壓轟炸的工作/學校生活，好不容易迎來週末，你大腦直覺的「回血機制」是：,立刻開啟「社交高手 / 氣氛製造機」模式揪團！出去見朋友、跑局、吸收外面的新鮮空氣，才是真正的「光合作用」與充電。,啟動「社交斷食」與勿擾模式。我需要躲進專屬的「能量恢復艙」（追劇、看書或發呆），享受專屬的「Me-time 時光」。,E人出門是「光合作用」，I人獨處是「Me-time / 能量恢復艙」。
Q02,Taiwan,EI,來到一個有七成以上都是陌生人的聚會或派對，你通常的「生存模式」是：,自帶「熟人濾鏡」！覺得大家都是還沒認識的朋友，主動破冰搭話完全沒障礙，是全場最罩的「氣氛製造機」。,啟動「保護色」模式。默默待在角落觀察，絕對需要緊緊黏著認識的朋友（俗稱「社交導盲犬」），等別人來搭話。,社交導盲犬是極具共鳴的 I 人派對生存迷因。
Q03,Taiwan,EI,難得的休假日，如果朋友突然臨時約你「等一下要不要去喝杯咖啡/逛個街？」，你的大腦第一反應是：,立刻換衣服出門！主打一個「說走就走」的高機動性。休假日就是要行程塞滿滿，臨時的邀約反而像開盲盒一樣充滿驚喜。,大腦警報大響！出門是需要「提前心理建設」的。如果今天已經設定是「居家模式」，就算是天王老子來約，我也會溫柔且堅定地婉拒。,強調 I 人出門前的「心理建設」與時間邊界感。
Q04,Taiwan,EI,打開你的 Instagram 或 Threads，你最真實的「社群活躍狀態」通常是：,限時動態常常縮到變成「螞蟻大小（點點點）」！主打一個「分享欲爆棚」，吃到好吃的、看到好笑的，立刻發動態或到處留言互動。,專業的「潛水員」或「幽靈人口」。版面幾乎長草，平常只看不發，或者只把真實的心情發在人極少的「摯友圈」或「小帳」裡。,螞蟻限動 vs 摯友圈/小帳，完美區分社群表達欲。
Q05,Taiwan,EI,在很多人一起聊天的 LINE 群組或是實體聚會中，你通常扮演什麼樣的發言角色？,極度害怕空氣突然安靜！大腦習慣「邊講邊想」，喜歡丟出各種點子跟大家碰撞，是維持熱絡氣氛的「話題發動機」。,大腦習慣「想好再講」。通常會先默默觀察、吸收大家的資訊，等到關鍵時刻才開口，主打一個重質不重量的「精準狙擊手 / 總結大師」。,外部處理器(話題發動機) vs 內部處理器(總結大師)。
Q06,Taiwan,EI,在人際交往中，你通常是如何定義「好朋友」並建立深厚信任感的？,交友濾鏡全開，主打一個天生的「自來熟」！喜歡透過頻繁的互動、一起玩樂來升級交情，是能把不同圈子串連起來、超好揪的「朋友富翁」。,交友自帶「嚴格的篩選機制」。不輕易交心，但只要把你放進「極少數的摯友圈」，就是一輩子的事。主打一個「靈魂伴侶級」的深度陪伴。,朋友富翁 vs 嚴格篩選的靈魂伴侶，雙向肯定交友觀。
Q07,Taiwan,EI,最近發現了一間超級想去的熱門餐廳或有趣的展覽，你大腦第一時間的「行動直覺」是：,立刻丟到群組大喊「誰要一起去！」主打一個「獨樂樂不如眾樂樂」。對你來說，跟一群人共同分享那個情緒，快樂值才會無限翻倍。,第一念頭是安排一場「自己的獨旅 / Me-time」，或是只約一個最懂我的摯友。更享受不被打擾、按自己步調去感受的「高質量私密時光」。,能量的流動：群體共振 vs 私密體驗。
Q08,Taiwan,EI,生活中遇到瓶頸、煩惱，或是需要做一個重要決定時，你大腦最習慣的「找答案方式」是：,透過「對外連線」來找解方！習慣打給朋友大聊特聊，透過一來一往的互動與共鳴來「吸取電力」跟靈感，話講完了，思緒也就通了。,數位時代的「獨立研究員」！瘋狂爬文、看論壇，甚至「打開 AI 跟它深度討論」。等自己把資訊消化完得出結論後，才會跟別人說。,引入「與AI深度討論」的現代 I 人絕佳解方機制。
Q09,Taiwan,SN,當朋友興沖沖地跑來跟你講一個八卦或故事時，你大腦會優先捕捉什麼資訊？,嚴謹的「細節控 / 實體還原大師」。大腦會自動抓取人事時地物，想知道確切的對話內容、發生的先後順序，喜歡具體還原現場。,腦洞大開的「通靈大師 / 弦外之音解碼器」。重點不在細節，而是對方「為什麼」這樣做，擅長看透背後的動機與潛台詞。,細節控還原現場 vs 尋找背後意義。
Q10,Taiwan,SN,站在窗邊看著一張安靜樹林的照片，你腦中第一個浮現的念頭比較接近：,著眼於具體細節：「實際溫度大概多少？葉子顏色適合什麼濾鏡？空氣聞起來像雨後嗎？」,充滿故事性的聯想：「這根本自帶主角感…如果我走進去，人生會不會直接翻盤？」,五感與現實細節 vs 充滿想像力的主角感。
