id,title,summary,quote,keywords,bg_color,character_image_url
INTJ,戰略策劃家,極致理性的系統構建者孤獨但清醒。,「如果這件事沒有邏輯那它就不應該存在。」,"遠見,獨立,戰略,完美",#F3E5F5,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438026/mbti_INTJ_sitgas.png
INTP,邏輯解構者,沉迷於宇宙奧秘的思考者腦洞無邊無際。,「比起答案我更喜歡那些無解的問題。」,"好奇,邏輯,解構,真理",#F3E5F5,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438026/mbti_INTP_n89sv2.png
ENTJ,天生指揮官,你是天生的統帥。擁有宏大的願景與鐵一般的意志。,「不可能這個詞只存在於愚人的字典裡。」,"野心,戰略,果斷,權力",#F3E5F5,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438025/mbti_ENTJ_jrtdic.png
ENTP,智力辯論家,打破規則的創新者喜歡思想的火花。,「為什麼不試試看反過來做？」,"機智,挑戰,創新,多變",#F3E5F5,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438025/mbti_ENTP_iikzmh.png
INFJ,深淵凝視者,稀有且深邃的導師看透人心的直覺力。,「最安靜的人往往擁有最喧囂的思想。」,"洞察,理想,神祕,利他",#E8F5E9,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438024/mbti_INFJ_fvjxy5.png
INFP,治癒系詩人,溫柔的理想主義者內心藏著整座宇宙。,「即使在陰溝裡我也在仰望星空。」,"夢幻,真誠,共情,自由",#E8F5E9,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438023/mbti_INFP_j2qekb.png
ENFJ,光輝導師,天生的導師與激勵者散發溫暖的光芒。,「你的潛力是我最想守護的寶藏。」,"熱情,領導,利他,影響",#E8F5E9,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438023/mbti_ENFJ_fdpmlb.png
ENFP,熱血追夢人,充滿熱情的可能性探險家永遠在追逐新奇。,「生活要麼是一場大膽的冒險要麼什麼都不是。」,"活力,創意,連結,自由",#E8F5E9,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438022/mbti_ENFP_dcbmdx.png
ISTJ,守序捍衛者,可靠現實的基石維護秩序的沉默守護者。,「承諾就是契約事實勝於雄辯。」,"責任,細節,傳統,秩序",#E3F2FD,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438022/mbti_ISTJ_m3uc4m.png
ISFJ,溫柔守護者,無私的奉獻者細膩體貼的守護天使。,「被需要是我存在的最大價值。」,"守護,奉獻,細膩,傳統",#E3F2FD,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438021/mbti_ISFJ_zjjqq6.png
ESTJ,鐵血執行長,講究效率的管理者維護傳統與秩序。,「效率是通往成功的唯一路徑。」,"秩序,管理,效率,現實",#E3F2FD,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438021/mbti_ESTJ_r8crof.png
ESFJ,熱心供給者,受歡迎的照顧者團體中的社交核心。,「大家好我們才好。」,"熱情,和諧,社交,責任",#E3F2FD,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438021/mbti_ESFJ_jzjd3v.png
ISTP,冷靜工匠,冷靜的觀察者靈巧的執行者。,「與其談論如何運作不如直接拆開來看。」,"理性,冷靜,冒險,技術",#FFF3E0,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438020/mbti_ISTP_ajlimj.png
ISFP,自由藝術家,在黑白之間探索無限可能的藝術家。,「生活是一張畫布我負責塗抹真實的色彩。」,"藝術,自由,敏感,當下",#FFF3E0,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438020/mbti_ISFP_xdgb6x.png
ESTP,極限挑戰者,活在當下的行動派追求刺激與解決問題。,「與其後悔做過不如後悔沒做。」,"大膽,行動,現實,速度",#FFF3E0,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438020/mbti_ESTP_rfs53m.png
ESFP,閃耀巨星,天生的藝人讓生活充滿樂趣與色彩。,「人生就是一場即興演出。」,"樂趣,表演,熱情,關注",#FFF3E0,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767438020/mbti_ESFP_hsuas1.png
