Question_ID,Dimension,Context,Option_A,Option_B,Cultural_Note
"Q01","EI","ストレスと疲労でボロボロの1週間が終了。やっと迎えた週末、あなたの脳が求める「HP回復方法」は？","とにかく外に出て「陽の気」を浴びたい！フットワーク軽く友達と会ったり、話題のスポットに出かけることでエネルギーがチャージされる。","誰にも気を遣わない「究極のソロ活（おうち時間）」を発動。外部との連絡を絶ち、自分のためだけに時間を使うことが最高のデトックス。","陽の気 (陽光能量) vs ソロ活/デトックス (Solo活/排毒)。"
"Q02","EI","参加者の7割以上が「初対面」の飲み会やイベント。その場でのあなたの立ち回りは？","天性の「コミュ力おばけ」。自分から話題を振って場を盛り上げる、「場を回す」のが得意なタイプ。","基本は「人見知りモード」。知っている人の隣をキープして、無理に話さず「聞き上手」に徹する安心感。","コミュ力おばけ (溝通怪物) vs 聞き上手 (善於傾聽)。"
"Q03","EI","せっかくの休日。突然友達から「今からお茶しない？」と誘われたら、あなたの脳内はどうなる？","秒で「行く！」と即答。「フットワークの軽さ」には自信あり。予定がぎっしり詰まっている方が、休日を満喫している気がする。","脳内がパニック！外出には事前の「心の準備（マインドセット）」が必要不可欠。今日はすでに「完全オフモード」と決めていたら、丁重にお断りする。","フットワークの軽さ (行動力高) vs 完全オフモード (完全Off休機模式)。"
"Q04","EI","あなたのSNS（InstagramやXなど）の普段の使い方・スタンスは？","日常の「映え」や面白かったことをどんどんストーリーで共有！フォロワーとリプライやDMでワイワイ盛り上がるのが好きな「発信者」。","基本は「見る専（ロム専）」。自分からは発信せず、いいねを押すだけ。本音を呟くのは、本当に信頼している人だけを集めた「鍵垢」のみ。","発信者 (發信者) vs 見る専 / 鍵垢 (潛水看客/上鎖私密帳號)。"
"Q05","EI","複数人のLINEグループや会議など、人が集まる場でのあなたの発言スタイルは？","「沈黙が苦手」なタイプ。とりあえず声を出して考えながら、相槌やリアクションで場を温める「ムードメーカー」。","情報をじっくり処理する「思考派」。みんなの話をしっかり聞き、ここぞというタイミングで的確な意見を出す「一言の重み」があるタイプ。","ムードメーカー (氣氛製造者) vs 一言の重み (一句話的份量)。"
"Q06","EI","人間関係において、あなたが「本当に信頼できる友達」を作るプロセスは？","誰とでも打ち解けられる「オープンマインド」の持ち主。フットワーク軽く色々な人と関わり、みんなを繋ぐ「ハブ」のような存在。","非常に狭く深い「厳選された人間関係」を好む。大人数よりも「サシ飲み（1対1の飲み）」で本音を語り合い、「一生モノの絆」を育むタイプ。","ハブ (人際樞紐) vs 厳選された/サシ飲み (嚴選關係/單獨喝酒)。"
"Q07","EI","ずっと気になっていた新しいカフェや話題のイベントに行く時、あなたの理想的な楽しみ方は？","みんなで行った方が絶対に楽しい「ワイワイ共有派」！すぐにグループLINEで声をかけ、その場のノリや感動を大勢で分かち合うことで楽しさが倍増する。","自分のペースで堪能したい「おひとりさま（または親友とサシ）派」。大人数で気を遣うより、自分の世界に没頭してじっくり味わうのが最高の贅沢。","ワイワイ共有 (熱鬧共享) vs おひとりさま (一個人獨享)。"
"Q08","EI","悩み事がある時や、答えを出したい時、あなたが一番スッキリする解決方法は？","外との繋がりで解決する「外部接続型」。誰かと会話のキャッチボールをして、相手から「エネルギーを吸収（充電）」しながら自分の考えを整理していく。","デジタル時代の「ソロ・リサーチャー」。脳内だけで悩むのではなく、ネットで徹底的に検索したり、「AI相手に壁打ち」をして情報を処理。完璧な結論が出てから人に話す。","エネルギーを吸収 (吸收能量) vs AI相手に壁打ち (把AI當對話牆/理清思緒)。"
"Q09","SN","友達から面白い話や噂話を聞いた時、あなたの脳が自然とフォーカスするのは：","「それ何時？どこで？その後どうなったの？」と、時間や場所、具体的な事実関係を正確に把握しようとする。","「どうしてそんなことしたんだろう？」と、出来事の背後にある動機や隠された意味（伏線）を深読みしたくなる。","具體事實與時間線 vs 動機與伏線深讀。"
"Q10","SN","窓辺に立ち、静かな森の写真を見つめています。最初に頭に浮かぶことは：","「実際の気温はどのくらいだろう？葉の色が綺麗だな。雨上がりの土の匂いがしそう」と、具体的な五感の情報を思い浮かべる。","「これは物語の始まりみたい…もしこの森に迷い込んだら、私の人生はどう変わるだろう？」と、想像の世界に浸る。","五感與現實細節 vs 想像力與故事感。"
"Q11","SN","新しいツールやアプリ（動画編集アプリやAIツールなど）を学ぶ時の、あなたの一般的な手順は：","まずはチュートリアルや説明書をしっかり読み、手順通りに進めて確実な使い方をマスターする。","説明書は読まず、とりあえず開いて直感で色々とクリックし、触りながら全体感を掴んでいく。","教學步驟導向 vs 直覺摸索導向。"
"Q12","SN","「5年後の自分のイメージはありますか？」と聞かれたら、あなたは：","「まずは今日のToDoリストをこなすのが先。未来は毎日の小さな習慣や現実的な積み重ねの先にあるものだから。」","「頭の中にいくつものパラレルワールド（別次元）があって、違う街、違う仕事をしている色々な自分の可能性を想像している。」","著眼當下的累積 vs 腦内多重宇宙 (パラレルワールド)。"
"Q13","SN","創作料理がウリの新しいレストランへ友達と来ました。メニューは見たことのない料理ばかりです。あなたは：","保守的に、一番馴染みのある味に近いものや、食材が明確に分かる安全なメニューを選ぶ。","一番変わった名前や珍しい料理に惹かれる。もしハズレだったとしても、それはそれで界隈の面白いネタになると思う。","安全牌 vs 踩雷當作聊天素材(ネタ)。"
"Q14","SN","もし文章を書くように頼まれたら、どちらのほうが自信がありますか：","実際に起きた出来事を、情景が目に浮かぶような細かい感覚的ディテールで正確に記録した文章。","隠喩（メタファー）や象徴的な意味、ファンタジー要素をたくさん盛り込んだ架空の物語。","真實細節紀錄 vs 隱喻與奇幻故事。"
"Q15","SN","正解のない選択を迫られたとき、あなたが最終的に信じるのは：","目に見えるデータ、過去の成功例、そして実際に起きた客観的な事実。","「言葉ではうまく説明できないけれど、なんかこれだ」という強烈な直感（インスピレーション）。","客觀數據與過去經驗 vs 強烈直覺。"
"Q16","SN","あなたにとって「ぼーっとする／空想にふける」頻度はどのくらいですか？","かなり少ない。頭の中はほとんど、今日のToDoリストや現実的な問題の解決策で忙しい。","とても多い。頭の中でいつも違う未来のミニ映画を上演したり、様々なシミュレーションをしている。","現實待辦事項 vs 腦內小劇場。"
"Q17","TF","自分のミスで仕事に失敗した友達が泣きながら飲みに行こうと誘ってきました。最初の反応は？","まずは時系列や状況を聞き、問題点を一緒に分析して「次はどう対策するか」の具体的なアドバイスを考える。","解決策より先に「つらかったね…本当に大変だったね」と感情に寄り添い、全力で味方になって慰める。","分析對策 vs 情緒共感 (寄り添う)。"
"Q18","TF","チームや他人を巻き込む大きな決断をする時、心の中で優先するのは：","「これは合理的で、公平で、最も効率的な選択か？」という客観的な正当性。","「これで誰かを傷つけないか？ 場の空気が気まずくならないか？」という思いやりと調和。","合理公平效率 vs 不傷人和氣與和諧。"
"Q19","TF","もしリストラの決断にどうしても関わらなければならないとしたら、あなたは：","客観的なパフォーマンスデータ、実績、そして今後の会社への貢献度を冷徹に基準にする。","家庭の事情が厳しい人や、長年会社に尽くしてきた感情的な繋がりがある人をできるだけ守りたくなる。","客觀績效 vs 人情與忠誠度。"
