MBTI_ID,Field,Chinese,English,Japanese,Korean,Cultural_Context_Translation_Logic
INTJ,Title,"戰略策劃家","The Strategic Architect","孤高の戦略家","냉철한 전략설계자",""
INTJ,Quote,"「如果這件事沒有邏輯，那它就不應該存在。」","If it doesn't make logical sense, it shouldn't exist.","「論理が破綻しているなら、存在する意味がない。」","「논리적이지 않다면, 존재할 이유도 없다.」",""
INTJ,CoreAnalysis,"你是天生的架構師。世界對你來說不是隨機的混亂，而是一個可以被拆解、優化和重組的巨大棋盤。你極度看重能力與知識，對權威不屑一顧，除非那個權威能證明他比你聰明。你的孤獨來自於你總是在思考大多數人還沒意識到的未來。","You are a natural architect. The world isn't a random mess to you; it's a giant chessboard waiting to be optimized. You value competence above all and have zero patience for authority that hasn't earned its keep. In a world exhausted by hustle culture, your laser focus is your superpower. Your loneliness stems from seeing the endgame while others are still figuring out the rules.","あなたは生粋のアーキテクト（構築者）です。不条理で非効率な社会ルールや同調圧力（空気を読むこと）に内心うんざりしていませんか？ あなたにとって世界は最適化すべき巨大なシステムです。権威を無条件には信じず、実力と論理だけを重んじます。あなたの孤独は、周りがまだルールを理解していない時に、すでに「結末」を見据えていることから生まれます。","당신은 타고난 건축가입니다. 무의미한 눈치 보기와 비효율적인 수직 사회에 진저리를 치며, 오직 '능력'과 '효율'만을 믿습니다. 세상은 당신에게 최적화해야 할 거대한 체스판입니다. 당신이 가끔 고독한 이유는, 남들이 이제 막 규칙을 배우고 있을 때 당신은 이미 게임의 '엔딩'을 보고 있기 때문입니다.","【英】加入對抗 Hustle culture (奮鬥文化) 的時代背景。【日】加入對抗「同調圧力(同儕壓力) / 空気を読む (讀空氣)」的社會現狀。【韓】加入對抗「눈치 (看眼色) 與垂直社會」的共鳴點。"
INTJ,SoulQuestions,"你贏了所有的爭論，但你快樂嗎？ | 如果效率不是人生唯一的指標，你會如何重新定義成功？ | 你推開了所有人以保持獨立，但這是強大還是恐懼？","You win every argument, but are you happy? | If efficiency isn't the only metric, how do you define success?","すべての議論に勝ったとして、あなたは本当に幸せですか？ | 効率以外の指標があるとすれば、あなたの成功とは何ですか？","모든 논쟁에서 이겼다고 해서, 당신은 진정 행복한가요? | 효율성이 인생의 전부가 아니라면, 성공을 어떻게 재정의할 건가요?","直譯，無特殊文化落差。"
INTP,Title,"邏輯解構者","The Logic Deconstructor","真理の探求者","논리의 해체주의자",""
INTP,Quote,"「比起答案，我更喜歡那些無解的問題。」","I prefer unsolvable questions over obvious answers.","「分かりきった答えより、解けない問いの方が面白い。」","「뻔한 정답보다는 풀리지 않는 질문이 훨씬 재밌지.」",""
INTP,CoreAnalysis,"你是思想的遊牧民族。你的大腦24小時都在運作，試圖找出萬物背後的原理。你不在乎世俗的成功標準，只在乎思維是否足夠清晰、邏輯是否足夠優美。你常被認為活在自己的世界裡，但那是因為你的世界比現實更有趣。","You are an intellectual nomad. Your brain operates 24/7 trying to decode the underlying principles of the universe. You couldn't care less about societal milestones. While others are burning out climbing the corporate ladder, you're deeply absorbed in rabbit holes. People think you live in your own world, but honestly, your world is just much more interesting.","あなたは知のノマドです。無意味な飲み会や建前だらけの社会に辟易し、24時間頭の中で宇宙の真理を解読しようとしています。世間がもてはやす「成功」には1ミリも興味がありません。自分の世界に閉じこもっていると思われがちですが、現実世界よりもあなたの脳内の方が遥かにエキサイティングなのです。","당신은 지적인 유목민입니다. 획일화된 성공 루트나 남들에게 보여주기 위한 스펙 쌓기엔 관심이 없습니다. 24시간 내내 세상의 작동 원리를 파헤치는 데 뇌를 풀가동하죠. 사람들은 당신이 자기만의 세계에 빠져 있다고 생각하지만, 솔직히 현실보다 당신의 머릿속이 수백 배는 더 흥미롭습니다.","【英】對照 corporate ladder (企業階梯) 來突顯其不從眾。【日】加入「無意義的應酬與建前 (表面功夫)」作為對立面。【韓】加入「스펙 쌓기 (瘋狂累積履歷/證照)」這類社會追求作為對立面。"
INTP,SoulQuestions,"你的理論總是很完美，但如果從未在現實中測試過，它們真的有意義嗎？ | 如果你解開了所有的謎題，卻發現真相極度孤獨，你會怎麼做？","If you never test your theories in reality, do they really matter? | What happens when the truth you find is incredibly lonely?","その理論を現実で試さないなら、なんの意味がある？ | 見つけた真理が酷く残酷で孤独なものだったら、どうしますか？","당신의 완벽한 이론을 현실에서 증명하지 않는다면, 무슨 소용이 있을까요? | 찾아낸 진리가 너무나도 고독하다면 어떻게 할 건가요?","直譯，加強孤獨的語氣。"
ENTJ,Title,"天生指揮官","The Born Commander","天性のカリスマ指揮官","타고난 야망의 지휘관",""
ENTJ,Quote,"「不可能這個詞只存在於愚人的字典裡。」","The word 'impossible' only exists in the dictionary of fools.","「不可能という言葉は、愚か者の辞書にしか存在しない。」","「불가능이라는 단어는 바보들의 사전에서나 찾는 것이다.」",""
