mbti_type,dessert_name,dessert_description,dessert_image_url,dessert_cta_link,dessert_series,dessert_quad,drink_a,drink_t
INTJ,北海道經典巴斯克,極致的濃度直達靈魂核心理智與感官的完美角力。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866456/BASQUE_CLASSIC_c6fb92.webp,https://linktr.ee/moon_moon_dessert,巴斯克,經典,美式咖啡,冰滴咖啡
INTP,檸檬柚子千層,結構細膩且層次分明在深度思考中尋求一絲清亮。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866456/MILLE_CREPE_LEMON_dcxrgr.webp,https://linktr.ee/moon_moon_dessert,千層,亮色,冷萃咖啡,柚子茶
ENTJ,奶酒提拉米蘇,微醺的權力展演苦甜之間盡是掌控局勢的餘韻。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866456/TIRAMISU_BAILEYS_vkzkxr.webp,https://linktr.ee/moon_moon_dessert,提拉米蘇,深色,濃縮咖啡,威士忌咖啡
ENTP,柚子蘋果提拉米蘇,打破常規的驚喜風味在每一次味覺挑戰中看見邊界。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866456/TIRAMISU_YUZU_pu1r82.webp,https://linktr.ee/moon_moon_dessert,提拉米蘇,果香,蘋果茶,氣泡水
INFJ,茶香巴斯克,沉穩的茶韻撫平外界的嘈雜帶你潛入最深的內在宇宙。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866455/BASQUE_TEA_izkwws.webp,https://linktr.ee/moon_moon_dessert,巴斯克,深色,伯爵茶,焙茶拿鐵
INFP,北海道十勝戚風,輕盈柔軟的著陸點在銳利的世界裡提供一場溫柔的安放。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866455/CHIFFON_HOKKAIDO_kff8rv.webp,https://linktr.ee/moon_moon_dessert,戚風,經典,鮮奶茶,蜂蜜檸檬
ENFJ,檸檬蘋果戚風,明亮如陽光的清新力量溫暖並照亮每一個被遺忘的角落。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866455/CHIFFON_LEMON_ppn6t3.webp,https://linktr.ee/moon_moon_dessert,戚風,亮色,檸檬茶,蘋果汁
ENFP,草莓莓果千層,層次繽紛且富有生命力裝滿奇奇怪怪且閃亮的靈感碎片。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866455/MILLE_CREPE_STRAWBERRY_s6bf22.webp,https://linktr.ee/moon_moon_dessert,千層,果香,莓果氣泡,草莓奶昔
ISTJ,經典十勝原味千層,結構的絕對精準與對承諾的執著最值得信賴的味覺基石。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866454/MILLE_CREPE_CLASSIC_ofjcvq.webp,https://linktr.ee/moon_moon_dessert,千層,經典,經典奶茶,熱可可
ISFJ,經典烤布丁,安全感的終極錨點最純粹最直接的溫柔安撫與回歸。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866453/PUDDING_CLASSIC_fm8hng.webp,https://linktr.ee/moon_moon_dessert,布丁,經典,溫牛奶,焦糖拿鐵
ESTJ,鹹蛋黃巴斯克,鋼鐵意志與濃郁核心的結合穩健中帶有不容忽視的力量。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866453/BASQUE_SALTED_EGG_cwc3ah.webp,https://linktr.ee/moon_moon_dessert,巴斯克,深色,黑咖啡,鹹奶茶
ESFJ,莓果戚風蛋糕,溫和友善的包覆感與摯愛分享這份純粹快樂的本質。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866454/CHIFFON_BERRY_wlmqgd.webp,https://linktr.ee/moon_moon_dessert,戚風,果香,花草茶,莓果汁
ISTP,經典提拉米蘇,冷靜大膽的口感平衡無需多言的硬派實力展現。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866454/TIRAMISU_CLASSIC_puzwyg.webp,https://linktr.ee/moon_moon_dessert,提拉米蘇,經典,義式咖啡,能量飲料
ISFP,抹茶提拉米蘇,細膩美感的微苦回甘用最溫柔的方式對抗世界的喧囂。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866453/TIRAMISU_MATCHA_wz4qxo.webp,https://linktr.ee/moon_moon_dessert,提拉米蘇,深色,抹茶拿鐵,玄米茶
ESTP,巧克力布朗尼千層,極致感官的爆發體驗追求速度與最直白的生命熱情。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866454/MILLE_CREPE_CHOCO_dtlgov.webp,https://linktr.ee/moon_moon_dessert,千層,深色,可樂,冰美式
ESFP,綜合水果戚風,點亮全場的色彩盛宴將每一刻都轉化為永恆的快樂慶典。,https://res.cloudinary.com/dvizdsv4m/image/upload/v1767866453/CHIFFON_FRUIT_fswhqh.webp,https://linktr.ee/moon_moon_dessert,戚風,果香,水果茶,綜合果汁
